year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1968-11,45.907777777777774,45.3,200.86095006242203,18.4,70.1,0.0,0.0,0.0,0.0,0.0
1968-12,44.092063492063495,46.5,126.03880696364571,16.0,59.2,0.0,0.0,0.0,0.0,0.0
1969-01,42.67423312883435,44.7,235.9236417177915,2.6,72.9,0.0,0.0,0.0,0.0,0.0
1969-02,43.33809523809524,42.849999999999994,139.20579396698918,19.7,67.8,0.0,0.0,0.0,0.0,0.0
1969-03,45.50573476702509,47.2,128.29788066321134,17.1,69.4,0.0,0.0,0.0,0.0,0.0
1969-04,57.537795275590554,56.849999999999994,69.59445519902893,30.6,75.3,0.0,0.0,0.0,0.0,0.0
1969-05,64.29244604316547,64.05,69.21651312884693,45.2,80.6,0.0,0.0,0.0,0.0,0.0
1969-06,69.48557692307692,68.95,71.34365570419935,51.9,87.4,0.0,0.0,0.0,0.0,0.0
1969-07,74.74685990338165,76.9,59.92522067445233,55.0,86.5,0.0,0.0,0.0,0.0,0.0
1969-08,75.32142857142857,75.3,33.53705714285702,64.9,87.8,0.0,0.0,0.0,0.0,0.0
1969-09,69.2025,67.75,41.22411134453785,56.2,82.1,0.0,0.0,0.0,0.0,0.0
1969-10,61.7984,61.8,85.80290064516124,36.9,81.6,0.0,0.0,0.0,0.0,0.0
1969-11,60.218333333333334,61.7,64.5574548022599,40.9,74.4,0.0,0.0,0.0,0.0,0.0
1969-12,54.31276595744681,53.5,51.220268270120265,34.7,68.2,0.0,0.0,0.0,0.0,0.0
1970-01,35.10915254237288,37.2,253.97974587801235,-7.9,71.4,0.0,0.0,0.0,0.0,0.0
1970-02,43.756147540983605,45.45,172.99169044727793,1.0,73.6,0.0,0.0,0.0,0.0,0.0
1970-03,48.774275362318846,47.8,154.74737220026358,24.0,74.9,0.0,0.0,0.0,0.0,0.0
1970-04,59.65555555555556,60.4,139.7276801801802,34.0,83.9,0.0,0.0,0.0,0.0,0.0
1970-05,68.30950570342206,71.1,129.3581917394713,43.0,98.0,0.0,0.0,0.0,0.0,0.0
1970-06,76.93849372384938,78.5,106.78431032664098,51.5,105.5,0.0,0.0,0.0,0.0,0.0
1970-07,82.73192488262912,82.6,71.09397599433093,64.2,105.1,0.0,0.0,0.0,0.0,0.0
1970-08,83.44734299516908,82.5,45.61609727498715,69.6,102.2,0.0,0.0,0.0,0.0,0.0
1970-09,76.49455445544554,78.19999999999999,86.94260701443278,51.7,99.5,0.0,0.0,0.0,0.0,0.0
1970-10,64.25046296296297,64.4,94.23758118001726,36.0,83.8,0.0,0.0,0.0,0.0,0.0
1970-11,52.31111111111111,52.1,124.06915204678374,16.8,74.6,0.0,0.0,0.0,0.0,0.0
1970-12,48.97985074626866,49.75,140.75665862417245,18.2,72.9,0.0,0.0,0.0,0.0,0.0
1971-01,41.115363128491616,44.0,205.42135995180192,2.5,84.3,0.0,0.0,0.0,0.0,0.0
1971-02,43.45197132616487,43.6,149.7802748768726,8.3,75.3,0.0,0.0,0.0,0.0,0.0
1971-03,49.10096463022508,51.3,134.3646119697128,16.1,75.1,0.0,0.0,0.0,0.0,0.0
1971-04,56.28338557993731,57.6,91.2335281244455,35.5,78.0,0.0,0.0,0.0,0.0,0.0
1971-05,64.69493243243244,64.8,63.44631321575815,41.4,84.9,0.0,0.0,0.0,0.0,0.0
1971-06,72.31555555555556,73.5,72.62094671623302,49.6,89.6,0.0,0.0,0.0,0.0,0.0
1971-07,76.33741007194244,76.55,42.33115861101714,52.1,88.1,0.0,0.0,0.0,0.0,0.0
1971-08,76.79177215189874,77.25,27.288021043296002,53.9,89.2,0.0,0.0,0.0,0.0,0.0
1971-09,69.13666666666667,72.75,119.3157606263981,39.9,85.3,0.0,0.0,0.0,0.0,0.0
1971-10,58.54516129032258,60.5,132.9356095517385,21.6,77.2,0.0,0.0,0.0,0.0,0.0
1971-11,47.92066666666667,47.25,87.65963713646534,25.0,73.2,0.0,0.0,0.0,0.0,0.0
1971-12,41.829032258064515,40.6,154.90285295349813,10.9,75.0,0.0,0.0,0.0,0.0,0.0
1972-01,33.85727229375298,35.5,386.96709984381715,-35.0,78.0,0.0,0.0,0.0,0.0,0.0
1972-02,35.654460990199816,36.1,298.5900593358317,-19.2,78.1,0.0,0.0,0.0,0.0,0.0
1972-03,45.04350424285885,45.1,238.65309400616778,-12.3,82.5,0.0,0.0,0.0,0.0,0.0
1972-04,52.29777144979571,51.3,173.08951459708962,12.1,84.0,0.0,0.0,0.0,0.0,0.0
1972-05,62.68316570881226,63.3,93.68504527585442,32.3,92.0,0.0,0.0,0.0,0.0,0.0
1972-06,69.00495970241785,68.9,79.59236131099999,38.4,102.4,0.0,0.0,0.0,0.0,0.0
1972-07,73.51531238714337,74.0,73.14579487892539,42.3,106.8,0.0,0.0,0.0,0.0,0.0
1972-08,72.88979224210401,73.4,63.76689795106642,46.5,106.6,0.0,0.0,0.0,0.0,0.0
1972-09,66.32929180571006,66.8,112.38688972089555,27.7,98.0,0.0,0.0,0.0,0.0,0.0
1972-10,54.210079098753596,54.0,156.47127200620722,6.7,86.2,0.0,0.0,0.0,0.0,0.0
1972-11,43.26710672424429,42.1,162.0824568919901,1.6,82.0,0.0,0.0,0.0,0.0,0.0
1972-12,34.59937023131888,35.8,336.5020756692328,-28.9,80.4,0.0,0.0,0.0,0.0,0.0
1973-01,45.101142857142854,45.0,260.2259756978654,11.8,82.7,0.07189873417721519,0.0,0.050190002418769655,0.0,1.61
